,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
0,60,1024,2500.0,10000.0,11,sn2003du,1.07,Ia-norm,1,2,0,Ia-norm,0,Ia
1,15,1024,2500.0,10000.0,8,sn2003it,1.36,Ia-norm,1,2,0,Ia-norm,0,Ia
2,5,1024,2500.0,10000.0,10,sn2000er,-9.99,Ibn,2,5,7,Ibn,1,Ib
3,8,1024,2500.0,10000.0,8,sn2001N,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
4,10,1024,2500.0,10000.0,10,sn2007qe,1.03,Ia-norm,1,2,0,Ia-norm,0,Ia
5,11,1024,2500.0,10000.0,8,sn1999cl,1.17,Ia-norm,1,2,0,Ia-norm,0,Ia
6,1,1024,2500.0,10000.0,10,sn03gq,-9.99,Ia-02cx,1,8,4,Iax,0,Ia
7,3,1024,2500.0,10000.0,8,sn2005hc,1.03,Ia-norm,1,2,0,Ia-norm,0,Ia
8,7,1024,2500.0,10000.0,8,sn1997dt,1.04,Ia-norm,1,2,0,Ia-norm,0,Ia
9,3,1024,2500.0,10000.0,10,sn06kf,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
10,19,1024,2500.0,10000.0,11,sn94ae,0.86,Ia-norm,1,2,0,Ia-norm,0,Ia
11,15,1024,2500.0,10000.0,10,sn2008Z,1.02,Ia-norm,1,2,0,Ia-norm,0,Ia
12,1,1024,2500.0,10000.0,10,sn08bt,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
13,33,1024,2500.0,10000.0,8,sn98bu,1.01,Ia-norm,1,2,0,Ia-norm,0,Ia
14,1,1024,2500.0,10000.0,9,sn02bg,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
15,8,1024,2500.0,10000.0,8,sn2005el,1.27,Ia-norm,1,2,0,Ia-norm,0,Ia
16,8,1024,2500.0,10000.0,11,sn02cx,1.29,Ia-02cx,1,8,4,Iax,0,Ia
17,4,1024,2500.0,10000.0,8,sn1996bl,1.07,Ia-norm,1,2,0,Ia-norm,0,Ia
18,4,1024,2500.0,10000.0,10,sn06ej,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
19,11,1024,2500.0,10000.0,13,12au,-9.99,Ib,2,2,6,Ib-norm,1,Ib
20,1,1024,2500.0,10000.0,8,sn2002ef,1.06,Ia-norm,1,2,0,Ia-norm,0,Ia
21,15,1024,2500.0,10000.0,10,sn2001G,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
22,1,1024,2500.0,10000.0,11,sn06cs,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
23,26,1024,2500.0,10000.0,9,sn1998es,0.85,Ia-91T,1,3,1,Ia-91T,0,Ia
24,7,1024,2500.0,10000.0,11,sn2001da,1.12,Ia-norm,1,2,0,Ia-norm,0,Ia
25,1,1024,2500.0,10000.0,11,sn03ai,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
26,1,1024,2500.0,10000.0,9,sn2007bz,1.05,Ia-norm,1,2,0,Ia-norm,0,Ia
27,1,1024,2500.0,10000.0,8,sn1996bk,1.78,Ia-norm,1,2,0,Ia-norm,0,Ia
28,3,1024,2500.0,10000.0,10,sn04eo,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
29,16,1024,2500.0,10000.0,13,sn1991T,0.93,Ia-91T,1,3,1,Ia-91T,0,Ia
30,10,1024,2500.0,10000.0,10,sn2007uy,-9.99,Ib-pec,2,3,9,Ib-pec,1,Ib
31,17,1024,2500.0,10000.0,9,sn2006gr,0.81,Ia-norm,1,2,0,Ia-norm,0,Ia
32,25,1024,2500.0,10000.0,9,sn2003jd,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
33,10,1024,2500.0,10000.0,8,sn1999gp,0.87,Ia-91T,1,3,1,Ia-91T,0,Ia
34,27,1024,2500.0,10000.0,8,sn2007le,1.01,Ia-norm,1,2,0,Ia-norm,0,Ia
35,27,1024,2500.0,10000.0,12,sn1996X,1.26,Ia-norm,1,2,0,Ia-norm,0,Ia
36,11,1024,2500.0,10000.0,10,sn2007ru,-9.99,Ic-broad,3,4,11,Ic-broad,2,Ic
